League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Italy Serie A,2024-01-28,11:00:00,22,Hellas Verona,Frosinone,3.1,2.1,3.5,2.26,3.35,3.2,1.4,2.75,1.07,12.5,1.28,3.3,2.01,1.85,1.75,2.0,1.43,1.32,1.57,1.18,0.27,1.29,1.19,2.48,1.89,8.9,2.24,1.25,3.42,1.52,2.44,1.88,1.93,2.35,1.56,3.2,1.28
Italy Serie A,2024-01-28,11:00:00,22,Monza,Sassuolo,2.75,2.25,3.6,2.29,3.55,3.05,1.33,3.25,1.02,12.0,1.2,4.3,1.73,2.05,1.62,2.2,1.38,1.32,1.7,1.45,0.73,1.35,1.35,2.7,1.78,9.3,2.39,1.16,4.3,1.35,2.98,1.66,2.16,2.04,1.74,2.57,1.42
Greece Super League,2024-01-28,11:00:00,20,AEK Athens,OFI,1.67,2.75,8.5,1.24,5.8,11.0,1.25,3.75,1.01,11.0,1.15,4.75,1.53,2.3,1.95,1.8,1.06,1.14,3.6,2.4,0.4,1.9,1.4,3.3,1.11,14.0,8.85,1.33,2.93,1.62,2.16,2.06,1.71,2.72,1.4,3.74,1.21
Germany Bundesliga,2024-01-28,11:30:00,19,Union Berlin,Darmstadt 98,2.2,2.25,5.5,1.66,3.9,5.2,1.36,3.0,1.07,12.5,1.22,4.0,1.81,2.01,1.91,1.91,1.17,1.28,2.36,1.44,0.56,1.43,1.04,2.47,1.48,9.5,3.26,1.32,2.98,1.67,2.19,2.09,1.73,2.54,1.5,3.65,1.22
Belgium Pro League,2024-01-28,12:00:00,22,AS Eupen,Royal Antwerp FC,6.5,2.7,1.8,8.0,5.0,1.3,1.24,3.7,1.02,12.0,1.16,5.0,1.53,2.35,1.79,2.0,3.3,1.12,1.06,0.8,1.0,1.2,1.32,2.52,4.7,9.0,1.28,1.22,4.0,1.42,2.75,1.74,2.02,2.23,1.61,3.0,1.35
Romania Liga I,2024-01-28,12:00:00,23,CSM Iaşi,Universitatea Cluj,4.0,2.04,2.85,3.15,3.1,2.05,1.43,2.63,1.08,9.0,1.4,2.85,2.0,1.7,2.0,1.76,1.68,1.33,1.3,1.17,1.67,1.67,1.36,3.03,2.4,7.5,1.82,1.41,2.6,1.76,2.04,2.23,1.64,3.08,1.3,5.3,1.14
Italy Serie B,2024-01-28,12:15:00,22,Cittadella,Sampdoria,2.75,2.0,4.5,1.91,3.0,3.75,1.53,2.38,1.1,7.95,1.47,2.71,2.35,1.53,2.05,1.7,1.25,1.29,1.75,1.92,1.36,1.48,1.29,2.77,1.55,8.0,3.02,1.43,2.55,1.8,2.0,2.37,1.49,3.3,1.26,4.8,1.17
Spain Segunda División,2024-01-28,12:15:00,24,FC Andorra,Elche CF,3.1,1.93,3.6,2.35,2.75,3.1,1.5,2.4,1.08,7.5,1.45,2.7,2.3,1.55,1.93,1.75,1.38,1.3,1.53,1.42,1.25,1.45,1.24,2.69,1.64,8.0,2.77,1.25,3.5,1.47,2.4,1.9,1.9,2.4,1.47,3.3,1.26
Spain La Liga,2024-01-28,12:15:00,22,Cádiz,Athletic Club Bilbao,5.5,2.1,2.38,5.25,3.75,1.62,1.44,2.63,1.08,9.4,1.38,3.08,2.05,1.75,2.05,1.7,2.1,1.3,1.18,1.09,1.45,1.22,1.38,2.6,2.6,8.0,1.65,1.27,3.1,1.5,2.3,1.87,1.82,2.35,1.49,3.1,1.28
Spain Segunda División,2024-01-28,12:15:00,24,Villarreal II,SD Huesca,3.1,2.0,4.0,2.25,2.9,3.0,1.5,2.5,1.11,7.34,1.48,2.77,2.35,1.53,2.0,1.73,1.36,1.35,1.6,1.58,1.17,1.65,0.91,2.56,1.75,8.0,2.44,1.34,2.9,1.62,2.1,2.1,1.61,2.85,1.34,3.85,1.24
