League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre
England Championship,2023-10-04,16:00:00,10,Rotherham United,Bristol City,3.75,2.2,2.75,3.45,3.3,1.97,1.4,2.75,1.05,11.0,1.32,3.4,1.97,1.69,1.73,2.0,1.66,1.31,1.31,1.25,1.75,1.04,1.18,2.22
Spain Segunda División,2023-10-04,16:30:00,9,Sporting Gijón,Elche CF,3.26,2.01,3.46,2.52,3.1,2.62,1.46,2.5,1.08,7.0,1.4,2.75,2.1,1.6,1.85,1.85,1.44,1.33,1.48,3.0,0.33,1.43,1.19,2.62
Spain Segunda División,2023-10-04,16:30:00,9,Burgos CF,Leganés,3.2,1.91,4.03,2.39,2.88,2.98,1.57,2.25,1.12,5.5,1.53,2.5,2.51,1.43,2.1,1.67,1.36,1.36,1.55,2.5,2.25,1.51,1.0,2.51
USA MLS,2023-10-04,20:30:00,0,Charlotte,Toronto,2.2,2.38,5.0,1.67,3.95,4.2,1.33,3.25,1.04,15.5,1.23,4.2,1.65,2.06,1.75,2.0,1.19,1.24,2.2,1.33,0.27,1.31,1.03,2.34
USA MLS,2023-10-04,20:30:00,0,FC Cincinnati,New York RB,2.4,2.3,4.33,1.67,3.95,4.2,1.33,3.25,1.03,15.0,1.22,4.2,1.65,2.06,1.62,2.2,1.18,1.2,2.2,2.67,0.73,1.47,1.43,2.9
USA MLS,2023-10-04,20:30:00,0,New England Revolution,Columbus Crew,2.88,2.25,3.5,1.58,4.15,4.6,1.33,3.25,1.04,12.0,1.22,4.0,1.65,2.06,1.62,2.2,1.3,1.25,1.78,2.47,0.87,1.55,1.42,2.97
USA MLS,2023-10-04,20:30:00,0,Philadelphia Union,Atlanta United FC,2.5,2.4,3.75,1.86,3.95,3.35,1.29,3.5,1.02,17.0,1.18,4.75,1.52,2.32,1.53,2.38,1.28,1.28,1.85,2.13,1.07,1.51,1.31,2.82
USA MLS,2023-10-04,20:30:00,0,Montreal Impact,Houston Dynamo,3.2,2.25,3.1,3.35,3.35,2.04,1.36,3.0,1.02,10.0,1.25,3.6,1.82,1.85,1.62,2.2,1.53,1.3,1.48,1.93,0.67,1.39,1.25,2.64
USA MLS,2023-10-04,21:30:00,0,FC Dallas,Colorado Rapids,2.25,2.3,4.75,1.67,3.9,4.2,1.33,3.25,1.02,15.0,1.22,4.2,1.65,2.06,1.7,2.05,1.18,1.18,2.2,1.73,0.6,1.22,1.12,2.34
USA MLS,2023-10-04,21:30:00,0,Nashville SC,Orlando City,2.5,2.25,4.33,1.96,3.5,3.4,1.36,3.0,1.03,13.0,1.25,4.2,1.72,1.97,1.7,2.05,1.3,1.22,1.83,2.0,1.67,1.5,1.22,2.72
USA MLS,2023-10-04,21:30:00,0,Austin,DC United,2.5,2.3,4.0,1.87,3.75,3.5,1.33,3.25,1.03,13.0,1.25,3.75,1.72,1.97,1.62,2.2,1.28,1.22,1.87,1.47,1.0,1.55,1.39,2.94
USA MLS,2023-10-04,21:30:00,0,Chicago Fire,Inter Miami,3.0,2.38,3.1,2.35,3.6,2.59,1.29,3.5,1.02,17.0,1.18,4.75,1.51,2.34,1.5,2.5,1.53,1.22,1.55,1.47,0.73,1.21,1.25,2.46
USA MLS,2023-10-04,23:30:00,0,Seattle Sounders,LA Galaxy,2.3,2.3,4.75,1.67,3.9,4.2,1.33,3.25,1.02,15.0,1.22,4.2,1.65,2.06,1.7,2.05,1.2,1.2,2.15,1.53,0.8,1.59,1.32,2.91
USA MLS,2023-10-04,23:30:00,0,Los Angeles FC,Minnesota United,2.1,2.3,6.0,1.46,4.0,6.5,1.33,3.25,1.03,13.0,1.25,3.75,1.72,1.97,1.91,1.91,1.12,1.18,2.55,1.88,1.33,1.93,1.33,3.26
USA MLS,2023-10-04,23:30:00,0,Vancouver Whitecaps,St. Louis City,2.5,2.38,4.0,2.05,3.5,3.15,1.3,3.4,1.02,15.0,1.22,4.2,1.62,2.11,1.62,2.2,1.36,1.22,1.75,1.73,1.31,1.79,1.32,3.11
