League,Date,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Sweden Allsvenskan,2023-05-01 10:00:00,5,IFK Göteborg,Norrköping,2.82,3.52,2.43,1.05,12.0,1.26,3.9,1.81,2.0,1.33,3.1,1.7,2.0,1.49,1.32,1.52,0.33,1.33,1.18,1.31,2.49,1.86,9.8,2.27,1.12,1.22,1.4,1.72,2.17
Italy Serie B,2023-05-01 10:00:00,35,Südtirol,Genoa,3.92,3.18,2.06,1.1,7.5,1.48,2.55,2.41,1.5,1.57,2.25,2.2,1.62,1.7,1.3,1.22,1.5,1.78,1.38,1.51,2.89,2.8,8.0,1.59,1.33,1.6,2.04,2.75,3.85
Italy Serie B,2023-05-01 10:00:00,35,Brescia,Cosenza,1.93,3.46,4.06,1.04,8.0,1.36,2.95,2.18,1.64,1.48,2.5,1.95,1.8,1.17,1.25,1.9,1.28,0.61,1.38,1.18,2.56,1.6,9.4,2.76,1.22,1.41,1.73,2.23,3.0
Italy Serie B,2023-05-01 10:00:00,35,Ascoli,Pisa,2.48,3.22,2.94,1.08,8.45,1.42,2.75,2.28,1.58,1.47,2.45,1.95,1.77,1.39,1.28,1.53,1.28,1.11,1.57,1.39,2.96,1.59,9.2,2.81,1.27,1.5,1.93,2.45,3.4
Italy Serie B,2023-05-01 10:00:00,35,Bari 1908,Cittadella,1.94,3.32,4.2,1.09,7.75,1.46,2.54,2.23,1.62,1.55,2.3,2.15,1.62,1.25,1.3,1.88,1.5,1.06,1.68,1.38,3.06,1.75,8.0,2.44,1.26,1.51,1.88,2.44,3.28
Italy Serie B,2023-05-01 10:00:00,35,Benevento,Parma,3.4,3.34,2.17,1.06,9.15,1.38,2.9,2.18,1.65,1.44,2.5,1.9,1.83,1.66,1.28,1.3,0.83,1.28,1.43,1.66,3.09,2.27,8.9,1.85,1.22,1.41,1.73,2.23,3.0
Croatia Prva HNL,2023-05-01 11:00:00,32,Lokomotiva Zagreb,Gorica,1.85,3.5,3.6,1.06,8.0,1.33,3.2,1.95,1.85,1.41,2.7,1.83,1.83,1.22,1.25,1.83,1.6,0.47,1.79,1.22,3.01,1.5,6.0,3.0,1.47,1.8,2.33,3.1,4.4
Republic of Ireland Premier Division,2023-05-01 11:00:00,13,St Patrick's Athl.,Sligo Rovers,2.05,3.5,3.3,1.06,8.0,1.3,3.3,1.86,1.74,1.4,2.7,1.77,1.93,1.31,1.3,1.68,1.43,1.43,1.54,1.63,3.17,1.95,8.0,2.1,1.25,1.48,1.8,2.33,3.1
Spain Segunda División,2023-05-01 11:15:00,38,Sporting Gijón,CD Lugo,1.41,3.93,6.85,1.09,7.0,1.5,2.37,2.13,1.63,1.52,2.35,2.37,1.51,1.11,1.27,2.3,1.68,0.47,1.51,1.17,2.68,1.18,12.5,6.25,1.28,1.53,1.92,2.49,3.34
Serbia SuperLiga,2023-05-01 12:00:00,3,Kolubara,Spartak Subotica,2.6,3.1,2.8,1.06,8.0,1.36,2.95,1.84,1.67,1.45,2.6,1.85,1.9,1.38,1.25,1.44,1.59,0.65,1.23,1.17,2.4,5.35,6.8,1.32,1.36,1.65,2.1,2.8,4.0
Republic of Ireland Premier Division,2023-05-01 13:00:00,13,UCD,Dundalk,4.0,3.9,1.8,1.02,8.9,1.28,3.26,1.87,1.74,1.4,2.83,1.81,1.93,1.87,1.29,1.26,0.83,1.0,1.02,1.12,2.14,2.77,8.0,1.64,1.25,1.43,2.0,2.32,3.1
Republic of Ireland Premier Division,2023-05-01 13:00:00,13,Drogheda United,Shelbourne,2.63,3.3,2.6,1.1,6.5,1.42,2.75,2.25,1.53,1.49,2.45,1.98,1.73,1.42,1.34,1.47,0.8,1.0,1.85,1.16,3.01,1.64,8.0,2.77,1.28,1.48,1.9,2.4,3.2
Republic of Ireland Premier Division,2023-05-01 13:00:00,13,Bohemians,Cork City,1.87,3.75,3.8,1.06,8.0,1.3,3.3,1.9,1.71,1.4,2.7,1.9,1.85,1.15,1.2,2.05,1.8,0.33,1.82,1.29,3.11,1.26,10.0,4.64,1.21,1.35,1.61,2.07,2.7
Hungary NB I,2023-05-01 13:00:00,29,Újpest,Ferencváros,5.0,4.0,1.53,0.0,0.0,0.0,0.0,1.8,2.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79,1.86,1.57,1.58,3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italy Serie B,2023-05-01 13:00:00,35,Venezia,Modena,2.15,3.2,3.3,1.02,9.5,1.36,3.0,2.15,1.57,1.44,2.63,1.75,1.95,1.25,1.33,1.62,1.18,1.12,1.52,1.49,3.01,2.1,8.0,1.91,1.22,1.41,1.73,2.23,3.0
Norway Eliteserien,2023-05-01 13:00:00,4,Vålerenga,Lillestrøm,2.45,3.4,2.63,1.03,12.5,1.24,4.1,1.72,2.12,1.3,3.3,1.66,2.17,1.5,1.29,1.57,0.0,0.0,1.55,1.14,2.69,1.78,8.5,2.45,1.1,1.24,1.39,1.65,2.07
Croatia Prva HNL,2023-05-01 13:10:00,32,Slaven Koprivnica,Rijeka,3.8,3.2,1.91,1.07,7.5,1.36,2.95,2.1,1.7,1.45,2.55,1.83,1.83,1.63,1.25,1.33,1.4,1.53,1.43,1.44,2.87,2.35,5.0,1.8,1.52,1.9,2.48,3.4,4.9
Spain Segunda División,2023-05-01 13:30:00,38,Málaga CF,SD Huesca,2.05,3.0,3.6,1.09,7.0,1.5,2.3,2.4,1.5,1.57,2.25,2.15,1.6,1.27,1.34,1.7,1.39,0.67,1.46,1.06,2.52,1.41,8.0,3.75,1.3,1.58,2.0,2.7,3.75
England Championship,2023-05-01 13:30:00,45,Blackburn Rovers,Luton Town,2.4,3.2,2.9,1.05,12.0,1.3,3.6,2.09,1.74,1.44,2.63,1.83,1.83,1.38,1.29,1.6,1.91,1.82,1.37,1.35,2.72,2.03,9.1,2.06,1.23,1.44,1.78,2.35,3.25
Serbia SuperLiga,2023-05-01 14:00:00,3,Bačka Topola,Partizan,2.88,3.0,2.63,1.08,7.0,1.36,2.95,2.16,1.69,1.46,2.55,1.83,1.9,1.45,1.28,1.36,1.94,1.94,1.82,1.56,3.38,2.47,5.8,1.95,1.38,1.67,2.15,2.85,4.1
Poland Ekstraklasa,2023-05-01 14:00:00,30,Cracovia Kraków,Miedź Legnica,1.75,3.4,4.5,1.05,7.5,1.38,2.8,1.95,1.7,1.49,2.63,2.05,1.7,1.22,1.27,1.95,1.79,0.43,1.7,1.4,3.1,1.63,8.0,2.76,1.25,1.48,1.85,2.36,3.14
Spain La Liga,2023-05-01 14:00:00,32,RCD Mallorca,Athletic Club Bilbao,3.3,2.9,2.3,1.12,5.7,1.57,2.3,2.75,1.39,1.62,2.2,2.2,1.62,1.57,1.42,1.27,1.67,1.47,1.22,1.54,2.76,2.55,8.6,1.73,1.41,1.75,2.24,2.98,4.25
Turkey Süper Lig,2023-05-01 14:00:00,32,İstanbulspor,Giresunspor,2.5,3.3,2.7,1.03,10.65,1.25,3.82,1.72,1.89,1.36,3.0,1.62,2.2,1.42,1.33,1.6,1.07,0.8,1.22,1.34,2.56,2.04,8.7,2.05,1.27,1.53,1.92,2.49,3.34
Denmark Superliga,2023-05-01 14:00:00,5,Midtjylland,Silkeborg,1.8,3.6,4.1,1.02,14.5,1.22,4.3,1.73,1.88,1.33,3.25,1.67,2.1,1.21,1.26,1.98,1.0,1.0,1.99,1.43,3.42,1.65,9.4,2.72,1.21,1.4,1.71,2.2,3.0
Romania Liga I,2023-05-01 14:30:00,6,Rapid Bucureşti,CFR Cluj,2.8,3.0,2.5,1.08,7.0,1.4,2.8,2.05,1.61,1.48,2.5,1.9,1.83,1.53,1.28,1.3,2.18,1.82,1.89,1.42,3.31,1.89,8.5,2.28,1.39,1.72,2.17,2.93,4.5
Republic of Ireland Premier Division,2023-05-01 15:15:00,13,Derry City,Shamrock Rovers,2.5,3.3,2.8,1.06,8.0,1.3,3.3,1.86,1.74,1.4,2.7,1.77,1.9,1.29,1.3,1.72,1.33,2.0,1.96,1.65,3.61,1.59,8.5,2.78,1.22,1.41,1.73,2.22,2.9
Italy Serie B,2023-05-01 15:30:00,35,Frosinone,Reggina,1.67,3.6,5.0,1.06,9.5,1.34,3.15,2.1,1.61,1.48,2.77,2.05,1.7,1.08,1.27,2.2,2.29,1.35,1.82,1.46,3.28,1.37,9.0,3.82,1.27,1.5,1.93,2.45,3.4
France Ligue 2,2023-05-01 15:45:00,33,Sochaux,Dijon,1.85,3.3,4.33,1.08,7.5,1.38,2.8,2.08,1.66,1.46,2.5,2.0,1.7,1.21,1.3,1.9,1.94,0.47,1.74,1.19,2.93,1.48,9.5,3.2,1.27,1.51,1.9,2.44,3.28
Spain Segunda División,2023-05-01 16:00:00,38,Burgos CF,Villarreal II,2.1,3.0,3.4,1.09,7.0,1.5,2.3,2.5,1.46,1.55,2.25,2.15,1.61,1.29,1.34,1.66,1.61,0.89,1.3,1.23,2.53,2.09,8.5,2.01,1.35,1.65,2.13,2.84,3.94
Spain La Liga,2023-05-01 16:00:00,32,Sevilla FC,Girona FC,1.8,3.6,4.2,1.05,11.0,1.32,3.4,1.89,1.82,1.4,2.75,1.8,1.95,1.25,1.3,1.9,1.47,0.73,1.89,1.29,3.18,1.57,9.1,2.94,1.31,1.6,2.04,2.69,3.65
England Premier League,2023-05-01 16:00:00,34,Leicester City,Everton,2.15,3.3,3.4,1.05,9.0,1.33,3.25,2.0,1.78,1.4,2.75,1.8,1.95,1.29,1.32,1.8,0.94,0.63,1.4,1.08,2.48,1.66,8.0,2.6,1.27,1.5,1.87,2.35,3.1
Bolivia LFPB,2023-05-01 16:00:00,11,Libertad,Guabirá,2.25,3.6,2.58,1.03,15.5,1.2,4.1,1.65,2.05,1.3,3.4,1.57,2.25,1.36,1.2,1.62,1.8,0.33,1.59,1.07,2.66,1.82,7.5,2.34,1.36,1.66,2.14,2.9,4.0
Brazil Serie B,2023-05-01 16:00:00,4,Londrina,Criciúma,2.63,2.8,2.7,1.12,5.5,1.5,2.45,2.59,1.44,1.53,2.3,2.1,1.63,1.41,1.37,1.44,3.0,3.0,1.68,1.22,2.9,1.92,9.1,2.16,1.18,1.34,1.73,2.2,3.1
Colombia Categoria Primera A,2023-05-01 17:00:00,17,Envigado,Atlético Huila,1.95,3.0,3.9,1.09,8.0,1.47,2.75,2.3,1.5,1.49,2.48,2.1,1.72,1.25,1.28,1.75,1.63,0.38,1.38,1.35,2.73,1.55,8.0,2.92,1.29,1.51,1.88,2.37,3.1
Paraguay Division Profesional,2023-05-01 19:00:00,15,Sportivo Ameliano,Sportivo Luqueño,2.3,3.2,2.7,0.0,0.0,0.0,0.0,1.86,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.86,1.47,1.14,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia Categoria Primera A,2023-05-01 19:15:00,17,Jaguares de Córdoba,Once Caldas,2.0,3.0,3.6,1.09,6.75,1.47,2.7,2.3,1.5,1.49,2.55,2.05,1.68,1.33,1.33,1.61,1.5,0.71,1.63,1.33,2.96,1.82,7.5,2.4,1.49,1.8,2.4,3.2,4.7
Brazil Serie A,2023-05-01 20:00:00,3,Vasco da Gama,Bahia,1.62,3.6,5.5,1.07,8.0,1.34,2.95,2.2,1.6,1.44,2.63,2.1,1.67,1.19,1.29,1.98,1.0,0.0,1.31,1.14,2.45,1.52,8.5,2.95,1.15,1.31,1.91,1.96,2.52
