League,Date,Time,Rodada,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre
Spain La Liga,2023-09-27,14:00:00,7,Real Madrid,UD Las Palmas,1.26,6.5,11.0,1.02,16.5,1.14,5.25,1.44,2.8,1.22,4.0,1.91,1.91,1.02,1.1,3.75,3.0,0.0,2.43,1.04,3.47
Bulgaria First League,2023-09-27,14:30:00,11,Ludogorets,Lokomotiv Plovdiv,1.35,4.75,8.0,1.02,10.0,1.2,4.2,1.7,2.1,1.3,3.4,2.0,1.73,1.04,1.12,2.8,2.5,3.0,2.69,1.73,4.42
Greece Super League,2023-09-27,14:30:00,6,Olympiakos Piraeus,Aris,1.39,4.45,7.8,1.02,15.0,1.22,4.2,1.76,1.97,1.33,3.25,1.95,1.8,1.07,1.15,2.95,3.0,0.33,2.25,1.18,3.43
Greece Super League,2023-09-27,14:30:00,6,PAOK,Volos NFC,1.15,7.3,14.5,1.02,15.5,1.16,5.0,1.48,2.51,1.25,3.75,2.2,1.62,1.01,1.08,4.75,2.33,0.5,1.78,0.79,2.57
Poland Ekstraklasa,2023-09-27,15:00:00,6,Pogoń Szczecin,Legia Warszawa,2.45,3.3,2.6,1.06,11.5,1.3,3.55,1.9,1.8,1.4,2.83,1.74,2.02,1.4,1.29,1.46,1.5,1.0,1.85,1.31,3.16
Netherlands Eredivisie,2023-09-27,15:00:00,3,Twente,Vitesse,1.65,4.4,4.65,1.01,26.0,1.12,5.87,1.44,2.72,1.24,4.2,1.5,2.55,1.17,1.17,2.45,3.0,1.5,1.77,1.32,3.09
Slovenia PrvaLiga,2023-09-27,15:15:00,10,Domžale,Mura,2.3,3.5,2.8,1.01,9.9,1.23,3.56,1.8,1.95,1.36,3.0,1.66,2.15,1.3,1.25,1.55,1.0,2.25,1.76,1.2,2.96
Switzerland Super League,2023-09-27,15:30:00,8,Lugano,Lausanne Sport,1.87,3.75,3.75,1.01,14.0,1.19,4.05,1.68,2.1,1.33,3.05,1.62,2.2,1.2,1.2,1.9,3.0,1.0,1.62,1.39,3.01
Switzerland Super League,2023-09-27,15:30:00,8,St. Gallen,Young Boys,2.7,3.75,2.3,1.01,17.5,1.12,4.9,1.5,2.5,1.25,3.6,1.44,2.65,1.57,1.2,1.45,3.0,1.67,1.93,1.55,3.48
Italy Serie B,2023-09-27,15:30:00,7,Como,Sampdoria,2.7,3.25,2.55,1.07,8.5,1.36,3.0,2.1,1.7,1.45,2.55,1.83,1.95,1.5,1.28,1.45,2.0,1.67,1.33,1.17,2.5
Switzerland Super League,2023-09-27,15:30:00,8,Servette,Winterthur,1.62,4.2,4.75,1.0,10.5,1.22,3.72,1.72,2.05,1.32,3.15,1.75,2.0,1.12,1.18,2.25,0.67,1.0,1.51,1.7,3.21
Italy Serie B,2023-09-27,15:30:00,7,Catanzaro,Cittadella,2.3,3.25,3.1,1.07,8.5,1.36,2.95,2.1,1.68,1.46,2.55,1.87,1.87,1.28,1.28,1.62,2.0,1.33,1.23,1.47,2.7
Italy Serie B,2023-09-27,15:30:00,7,Parma,Bari 1908,2.15,3.3,3.3,1.07,8.5,1.36,2.95,2.1,1.68,1.46,2.55,1.87,1.87,1.25,1.28,1.66,2.0,1.67,1.55,0.99,2.54
Slovakia Super Liga,2023-09-27,15:30:00,3,Spartak Trnava,FK Košice,1.72,3.6,4.5,1.04,8.5,1.3,3.2,2.0,1.75,1.4,2.75,1.9,1.85,1.15,1.22,2.05,1.0,1.0,1.66,1.46,3.12
Wales Welsh Premier League,2023-09-27,15:45:00,9,Bala Town,Aberystwyth Town,1.29,5.5,7.5,1.01,11.0,1.13,4.75,1.57,2.25,1.25,3.5,1.8,1.95,1.09,1.14,2.8,2.5,0.25,1.1,0.9,2.0
Belgium Pro League,2023-09-27,15:45:00,5,Royal Antwerp FC,KAA Gent,2.25,3.5,3.0,1.03,15.0,1.22,4.2,1.7,2.15,1.3,3.2,1.55,2.35,1.4,1.25,1.63,2.33,2.33,1.84,1.83,3.67
Italy Serie A,2023-09-27,15:45:00,6,Inter Milan,Sassuolo,1.39,5.4,6.9,1.02,23.0,1.12,6.5,1.4,3.0,1.22,4.0,1.67,2.1,1.05,1.12,3.3,3.0,0.0,1.84,1.2,3.04
Italy Serie A,2023-09-27,15:45:00,6,Lazio,Torino,1.82,3.55,4.45,1.06,9.0,1.35,3.15,2.1,1.75,1.44,2.63,1.95,1.8,1.26,1.26,1.9,0.5,1.5,1.39,1.08,2.47
Italy Serie A,2023-09-27,15:45:00,6,Napoli,Udinese,1.37,4.95,8.3,1.03,17.0,1.2,4.5,1.6,2.35,1.3,3.4,2.0,1.75,1.05,1.12,3.3,1.5,1.0,1.98,1.32,3.3
Netherlands Eredivisie,2023-09-27,16:00:00,3,Ajax,Volendam,1.13,8.5,15.0,1.0,21.0,1.1,6.25,1.33,3.19,1.18,4.33,2.0,1.68,1.03,1.04,5.0,3.0,0.0,3.11,1.2,4.31
Spain La Liga,2023-09-27,16:30:00,7,Cádiz,Rayo Vallecano,2.5,3.25,3.0,1.08,8.5,1.44,2.8,2.3,1.62,1.5,2.5,1.95,1.8,1.44,1.3,1.53,2.33,2.0,1.25,1.51,2.76
Spain La Liga,2023-09-27,16:30:00,7,Valencia CF,Real Sociedad,2.5,3.3,3.0,1.09,7.0,1.44,2.79,2.35,1.6,1.5,2.5,2.0,1.75,1.38,1.32,1.58,2.0,0.5,1.47,1.09,2.56
Brazil Serie A,2023-09-27,19:00:00,22,São Paulo,Coritiba,1.44,4.5,7.0,1.04,8.5,1.29,3.3,1.9,1.87,1.4,2.75,2.1,1.67,1.09,1.22,2.75,1.92,0.42,1.92,1.27,3.19
Paraguay Division Profesional,2023-09-27,20:30:00,10,Libertad,Olimpia,1.85,3.6,3.75,0.0,0.0,0.0,0.0,1.83,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44,1.31,1.63,1.48,3.11
USA MLS,2023-09-27,20:30:00,0,Philadelphia Union,FC Dallas,1.43,4.66,7.15,1.03,11.0,1.27,3.75,1.71,2.01,1.36,3.0,1.95,1.8,1.14,1.2,2.3,2.21,0.93,1.51,1.18,2.69
USA MLS,2023-09-27,22:30:00,0,Colorado Rapids,Vancouver Whitecaps,2.5,3.6,2.6,1.04,12.0,1.28,3.6,1.7,2.15,1.37,2.8,1.72,1.98,1.3,1.3,1.7,0.93,1.07,1.36,1.34,2.7
