IDMercado_MO,IDMercado_OU,IDMercado_BTTS,IDMercado_CS,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_Goleada_H,CS_Goleada_A
1.216543269,1.216543314,1.216543353,1.216543278,Chinese Super League,2023-08-05,08:35:00,Dalian Yifang,Shanghai Shenhua,3.0,3.25,2.74,2.2,1.77,1.89,1.96,11.0,10.0,17.0,42.0,11.0,7.2,12.5,34.0,18.5,13.5,19.5,55.0,48.0,38.0,55.0,120.0,38.0,32.0
1.216588282,1.216588266,1.216588281,1.216588291,Ukrainian Premier League,2023-08-05,09:00:00,FC Minaj,LNZ-Lebedyn,2.88,3.3,2.58,2.18,1.77,1.77,1.85,13.0,11.5,19.5,48.0,12.5,9.0,14.5,38.0,22.0,15.5,23.0,60.0,60.0,42.0,65.0,150.0,42.0,34.0
1.216580129,1.216580174,1.216580213,1.216580138,Danish 1st Division,2023-08-05,09:00:00,Vendsyssel FF,FC Helsingor,2.04,4.0,3.45,1.62,2.48,1.62,2.4,23.0,21.0,30.0,60.0,15.0,11.5,17.0,38.0,17.0,12.5,18.0,42.0,27.0,22.0,32.0,70.0,11.5,27.0
1.216432893,1.216432938,1.216432977,1.216432902,German 3 Liga,2023-08-05,09:00:00,Preussen Munster,Dortmund II,1.68,4.3,5.0,1.64,2.42,1.66,2.28,23.0,24.0,44.0,120.0,12.0,11.0,21.0,60.0,12.5,10.5,19.5,60.0,19.0,17.0,30.0,85.0,8.2,50.0
1.216427244,1.216427289,1.216427328,1.216427253,German 3 Liga,2023-08-05,09:00:00,1860 Munich,Waldhof Mannheim,2.34,3.85,2.88,1.66,2.26,1.53,2.44,24.0,19.0,27.0,55.0,16.5,11.0,15.5,34.0,21.0,13.5,18.5,42.0,38.0,27.0,36.0,80.0,16.5,23.0
1.216431677,1.216431722,1.216431761,1.216431686,German 3 Liga,2023-08-05,09:00:00,Lubeck,SV Sandhausen,2.92,3.7,2.4,1.76,2.2,1.59,2.34,19.5,14.0,19.0,38.0,16.0,9.6,13.0,27.0,24.0,14.5,18.5,38.0,55.0,34.0,42.0,85.0,25.0,18.0
1.216431767,1.216431812,1.216431851,1.216431776,German 3 Liga,2023-08-05,09:00:00,Viktoria Koln,Verl,2.18,4.0,3.0,1.62,2.5,1.58,2.4,23.0,18.5,25.0,50.0,15.0,11.0,15.0,32.0,17.5,12.5,16.5,36.0,28.0,23.0,29.0,65.0,12.0,22.0
1.216431857,1.216431902,1.216431941,1.216431866,German 3 Liga,2023-08-05,09:00:00,Jahn Regensburg,Unterhaching,1.88,3.9,4.1,1.72,2.28,1.66,2.32,21.0,21.0,36.0,90.0,13.0,10.5,18.5,48.0,15.0,11.5,19.0,55.0,25.0,21.0,34.0,85.0,11.5,40.0
1.216554831,1.216554876,1.216554915,1.216554840,Finnish Veikkausliiga,2023-08-05,09:00:00,HJK Helsinki,IFK Mariehamn,1.49,4.7,7.4,1.89,2.08,2.06,1.85,18.0,27.0,70.0,270.0,8.4,11.5,32.0,160.0,8.8,10.5,28.0,130.0,14.5,17.5,42.0,170.0,8.4,180.0
1.216451971,1.216452016,1.216452055,1.216451980,Czech 1 Liga,2023-08-05,10:00:00,MFK Karvina,Mlada Boleslav,3.2,3.65,2.24,1.74,2.14,1.68,2.26,17.5,13.0,16.5,29.0,16.0,9.4,12.0,24.0,25.0,15.5,17.0,34.0,55.0,36.0,44.0,80.0,29.0,15.0
1.216396295,1.216396340,1.216396379,1.216396304,Czech 1 Liga,2023-08-05,10:00:00,Slovacko,Sigma Olomouc,2.08,3.4,3.85,2.04,1.89,1.84,2.0,13.5,15.0,29.0,80.0,9.4,8.2,17.5,55.0,13.5,11.5,21.0,70.0,26.0,25.0,44.0,130.0,18.0,60.0
1.216452151,1.216452196,1.216452235,1.216452160,Czech 1 Liga,2023-08-05,10:00:00,Sparta Prague,Pardubice,1.19,8.0,16.0,1.41,3.1,1.97,1.89,44.0,80.0,200.0,1.01,14.5,22.0,70.0,280.0,10.5,13.5,40.0,190.0,11.0,14.5,38.0,170.0,3.4,280.0
1.216586044,1.216586089,1.216586128,1.216586053,Danish 1st Division,2023-08-05,10:00:00,B93 Copenhagen,Kolding IF,3.45,3.7,2.16,1.78,2.06,1.65,2.26,18.0,12.0,15.0,29.0,17.0,9.2,11.5,24.0,30.0,16.0,18.5,38.0,75.0,44.0,50.0,90.0,38.0,15.0
1.216546922,1.216546967,1.216547006,1.216546931,Polish Ekstraklasa,2023-08-05,10:00:00,Rakow Czestochowa,Warta Poznan,1.44,4.7,9.0,2.04,1.83,2.22,1.76,14.5,24.0,80.0,350.0,7.4,11.5,36.0,170.0,8.0,11.0,34.0,160.0,13.0,18.5,50.0,240.0,8.8,290.0
1.216724511,1.216724556,1.216724595,1.216724520,Finnish Kakkonen,2023-08-05,10:00:00,PKK-U,Tips,1.19,8.4,12.5,1.25,4.1,1.69,2.26,75.0,90.0,1.01,1.01,22.0,24.0,60.0,1.01,14.5,14.5,36.0,1.01,14.0,14.0,32.0,120.0,2.64,140.0
1.216723881,1.216723926,1.216723965,1.216723890,Finnish Kakkonen,2023-08-05,10:00:00,JBK,VIFK,3.6,4.2,1.86,1.52,2.6,1.57,2.52,28.0,16.0,16.5,25.0,24.0,12.0,12.5,19.5,36.0,18.5,18.5,29.0,75.0,42.0,44.0,70.0,28.0,8.8
1.216538106,1.216538151,1.216538190,1.216538115,Polish I Liga,2023-08-05,10:00:00,Miedz Legnica,Gornik Leczna,1.83,3.65,4.9,2.0,1.83,1.9,1.91,990.0,990.0,40.0,130.0,8.8,9.0,21.0,75.0,11.0,11.0,23.0,85.0,990.0,990.0,42.0,140.0,990.0,90.0
1.216066593,1.216066638,1.216066677,1.216066602,Norwegian 1st Division,2023-08-05,10:00:00,Kristiansund,Start,1.79,4.5,4.1,1.41,3.05,1.47,2.88,40.0,36.0,50.0,100.0,20.0,14.0,23.0,48.0,19.0,13.0,18.5,44.0,26.0,18.5,26.0,60.0,7.0,27.0
1.216066413,1.216066458,1.216066497,1.216066422,Norwegian 1st Division,2023-08-05,10:00:00,Jerv,Moss,2.2,3.75,3.2,1.79,2.16,1.65,2.32,18.5,16.5,26.0,60.0,13.0,9.4,15.0,36.0,16.5,11.5,17.5,44.0,32.0,23.0,34.0,80.0,15.0,28.0
1.216066323,1.216066368,1.216066407,1.216066332,Norwegian 1st Division,2023-08-05,10:00:00,Mjondalen,Hodd,2.04,3.6,3.75,1.9,2.04,1.75,2.08,17.0,17.5,32.0,90.0,11.5,9.6,19.0,55.0,15.0,13.0,22.0,65.0,30.0,26.0,42.0,120.0,17.0,50.0
1.216466220,1.216466265,1.216466304,1.216466229,Swedish Superettan,2023-08-05,10:00:00,Landskrona,Ostersunds FK,2.24,3.55,3.5,1.9,1.95,1.73,2.12,15.0,14.5,26.0,65.0,11.0,8.8,15.5,42.0,15.0,12.0,19.0,55.0,30.0,25.0,40.0,100.0,17.5,38.0
1.216466310,1.216466355,1.216466394,1.216466319,Swedish Superettan,2023-08-05,10:00:00,Gefle,IK Brage,3.4,3.7,2.18,1.82,2.04,1.65,2.16,19.5,13.5,17.5,34.0,17.5,10.0,13.0,26.0,29.0,17.0,20.0,40.0,70.0,44.0,55.0,100.0,36.0,17.0
1.216466400,1.216466445,1.216466484,1.216466409,Swedish Superettan,2023-08-05,10:00:00,Jonkopings Sodra,Utsiktens,2.92,3.55,2.5,1.9,2.02,1.69,2.22,18.0,14.5,20.0,40.0,16.0,10.0,14.0,32.0,24.0,15.5,19.5,44.0,50.0,36.0,48.0,95.0,29.0,23.0
1.215970476,1.215970521,1.215970560,1.215970485,French Ligue 2,2023-08-05,10:00:00,St Etienne,Grenoble,1.64,4.1,6.0,1.78,2.08,1.85,2.06,17.0,25.0,55.0,160.0,10.5,10.5,26.0,85.0,11.5,11.5,23.0,85.0,17.0,19.0,38.0,120.0,9.4,95.0
1.216566174,1.216566158,1.216566173,1.216566183,Finnish Ykkonen,2023-08-05,10:00:00,SJK 2,Mikkeli,2.94,4.0,2.32,1.6,2.58,1.55,2.6,28.0,18.0,21.0,36.0,20.0,11.5,14.0,25.0,28.0,14.5,18.0,32.0,55.0,34.0,38.0,65.0,21.0,14.0
1.216554921,1.216554966,1.216555005,1.216554930,Finnish Ykkonen,2023-08-05,10:00:00,Salpa,TPS,3.6,3.85,2.02,1.81,2.16,1.67,2.32,18.5,12.5,14.5,26.0,17.5,9.6,11.5,21.0,30.0,16.0,18.0,34.0,70.0,70.0,46.0,85.0,36.0,12.5
1.216555011,1.216555056,1.216555095,1.216555020,Finnish Ykkonen,2023-08-05,10:00:00,Gnistan,KPV,1.6,4.3,6.0,1.75,2.1,1.88,1.96,21.0,26.0,60.0,180.0,10.5,11.5,28.0,95.0,11.5,11.5,26.0,95.0,17.5,19.5,40.0,140.0,9.2,110.0
1.216467331,1.216467341,1.216467330,1.216467340,Swedish Allsvenskan,2023-08-05,10:00:00,Brommapojkarna,Varnamo,2.26,3.65,3.35,1.86,2.1,1.73,2.26,16.5,15.5,25.0,55.0,12.0,8.6,15.0,38.0,16.0,11.5,17.5,46.0,29.0,25.0,36.0,85.0,16.5,32.0
1.216724151,1.216724196,1.216724235,1.216724160,Finnish Kakkonen,2023-08-05,10:00:00,GBK,OLS,3.75,4.1,1.94,1.54,2.54,1.57,2.56,25.0,15.0,16.0,25.0,22.0,410.0,410.0,19.5,32.0,17.0,17.0,27.0,70.0,40.0,40.0,65.0,27.0,430.0
1.216724241,1.216724286,1.216724325,1.216724250,Finnish Kakkonen,2023-08-05,10:00:00,PK-35 RY,Pepo,1.34,6.0,8.0,1.39,3.1,1.64,2.0,42.0,48.0,1.01,1.01,16.5,18.0,38.0,1.01,12.5,13.5,29.0,1.01,14.5,15.5,34.0,1.01,4.6,1.01
1.216724331,1.216724376,1.216724415,1.216724340,Finnish Kakkonen,2023-08-05,10:00:00,JIPPO,FC Futura,1.08,16.5,34.0,1.22,4.6,2.32,1.66,90.0,1.01,1.01,1.01,22.0,42.0,1.01,1.01,450.0,20.0,90.0,1.01,25.0,17.5,60.0,1.01,2.02,1.01
1.216768014,1.216768059,1.216768098,1.216768023,Brazilian U20,2023-08-05,10:00:00,Uberlandia EC U20,Inter de Minas U20,2.98,3.55,2.02,1.2,1.02,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.216767654,1.216767699,1.216767738,1.216767663,Brazilian U20,2023-08-05,10:00:00,Santarritense U20,Boston U20,4.6,4.4,1.51,1.18,1.02,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.216724421,1.216724466,1.216724505,1.216724430,Finnish Kakkonen,2023-08-05,10:00:00,Ppj,Klubi-04,6.0,5.3,1.45,1.38,3.0,1.56,2.5,40.0,18.0,14.5,16.5,42.0,18.0,13.5,17.0,75.0,32.0,24.0,28.0,170.0,85.0,65.0,75.0,60.0,5.1
1.216724061,1.216724106,1.216724145,1.216724070,Finnish Kakkonen,2023-08-05,10:00:00,RoPS,FCV,2.2,3.95,3.05,1.61,2.34,1.6,2.44,23.0,19.0,28.0,60.0,15.5,11.5,16.5,38.0,19.0,13.5,19.5,44.0,34.0,26.0,36.0,80.0,15.0,28.0
