IDMercado,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_Goleada_H,CS_Goleada_A
1.215389718,Peruvian Primera Division,2023-06-24,17:30:00,Sport Huancayo,Universidad Cesar Vallejo,1.56,1.01,1.04,1.92,1.98,1.94,1.86,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215388587,Canadian Premier League,2023-06-24,18:00:00,Cavalry,York9,1.15,3.6,5.5,1.28,1.13,1.01,1.01,15.5,1.01,1.01,1.01,8.6,10.0,1.01,1.01,1.01,11.0,28.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215465256,Brazilian Serie D,2023-06-24,18:00:00,Aguia de Maraba,Tuna Luso PA,2.3,3.0,3.0,2.3,1.66,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215467909,Brazilian Serie D,2023-06-24,18:00:00,Humaita AC,Sao Francisco AC,1.34,1.12,1.12,1.18,1.71,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215338675,Uruguayan Primera Division,2023-06-24,18:00:00,Wanderers (Uru),Penarol,4.4,3.65,1.8,2.12,1.7,1.91,1.9,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215467095,Brazilian Serie D,2023-06-24,18:00:00,CRAC,Ferroviaria,2.7,2.96,2.74,1.39,1.08,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215418857,Argentinian Primera B Nacional,2023-06-24,18:10:00,CA Temperley,All Boys,1.62,3.65,6.4,2.26,1.57,2.34,1.57,10.0,1.01,1.01,1.01,5.7,9.0,30.0,1.01,1.01,10.5,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215189364,Brazilian Serie B,2023-06-24,18:15:00,Tombense MG,Novorizontino,3.45,3.2,2.44,2.38,1.61,1.96,1.81,9.8,8.6,16.0,1.01,1.01,1.01,13.0,1.01,1.01,1.01,24.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215246087,Brazilian Serie A,2023-06-24,18:30:00,Fluminense,Bahia,1.62,4.1,6.6,1.96,1.96,1.99,1.9,14.0,22.0,55.0,200.0,8.2,9.2,25.0,100.0,9.2,9.8,24.0,100.0,15.0,18.0,40.0,140.0,9.8,130.0
1.215325196,Brazilian Serie A,2023-06-24,18:30:00,Fortaleza EC,Atletico MG,2.62,3.3,3.1,2.22,1.73,1.9,1.99,10.5,10.5,19.0,55.0,9.4,7.6,13.5,40.0,16.0,12.5,19.5,60.0,40.0,32.0,50.0,130.0,32.0,42.0
