,Date,League,Home,Away,Goals_H,Goals_A,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay
545,2023-12-16,SPAIN - LALIGA,Valencia,Barcelona,1,1,5.6,5.7,1.7,1.72,4.2,4.3
546,2023-12-16,SPAIN - LALIGA2,Mirandes,Albacete,2,0,3.5,3.75,2.26,2.4,3.3,3.45
547,2023-12-16,FRANCE - LIGUE 1,Lens,Reims,2,0,2.06,2.08,4.0,4.1,3.7,3.75
548,2023-12-16,NETHERLANDS - EREDIVISIE,Heerenveen,FC Volendam,1,2,1.39,1.4,9.2,9.6,5.7,5.9
549,2023-12-16,PORTUGAL - LIGA PORTUGAL,Boavista,Vitoria Guimaraes,1,1,3.7,4.2,1.97,2.1,3.75,3.9
550,2023-12-16,ARGENTINA - COPA DE LA LIGA PROFESIONAL,Rosario Central,Platense,1,0,2.7,2.88,3.15,3.4,2.96,2.98
551,2023-12-17,AUSTRALIA - A-LEAGUE,Melbourne City,Central Coast Mariners,3,3,1.93,2.0,3.65,3.95,4.3,4.5
552,2023-12-17,PORTUGAL - LIGA PORTUGAL 2,Vilaverdense,Leixoes,1,0,2.9,3.1,2.58,2.78,3.3,3.5
553,2023-12-17,NETHERLANDS - EREDIVISIE,Almere City,Vitesse,5,0,2.42,2.5,3.0,3.2,3.65,3.75
554,2023-12-17,ITALY - SERIE A,AC Milan,Monza,3,0,1.67,1.68,5.9,6.0,4.3,4.4
555,2023-12-17,POLAND - EKSTRAKLASA,LKS Lodz,Ruch Chorzow,1,1,2.28,2.38,3.35,3.65,3.45,3.6
556,2023-12-17,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,Zvijezda 09,Siroki Brijeg,3,0,2.62,2.96,2.86,3.35,2.92,3.45
557,2023-12-17,ENGLAND - CHAMPIONSHIP,West Brom,Stoke,1,1,1.82,1.85,5.2,5.3,3.75,3.8
558,2023-12-17,FRANCE - LIGUE 1,Nantes,Brest,0,2,2.74,2.76,2.94,2.96,3.35,3.4
559,2023-12-17,PORTUGAL - LIGA PORTUGAL 2,Santa Clara,FC Porto B,2,1,2.22,2.4,3.3,3.6,3.45,3.8
560,2023-12-17,BELGIUM - CHALLENGER PRO LEAGUE,Francs Borains,Beerschot VA,1,3,4.2,5.0,1.8,2.0,3.6,4.8
561,2023-12-17,BELGIUM - JUPILER PRO LEAGUE,Club Brugge KV,Gent,2,0,1.74,1.76,5.1,5.4,4.1,4.3
562,2023-12-17,GERMANY - 2. BUNDESLIGA,Braunschweig,Kaiserslautern,2,1,2.8,3.0,2.58,2.72,3.5,3.7
563,2023-12-17,GERMANY - 2. BUNDESLIGA,Karlsruher SC,Elversberg,3,2,2.24,2.34,3.1,3.3,3.95,4.1
564,2023-12-17,GERMANY - 2. BUNDESLIGA,St. Pauli,Wehen,1,1,1.35,1.39,9.6,10.5,5.6,6.2
565,2023-12-17,GERMANY - 3. LIGA,Duisburg,SG Dynamo Dresden,2,4,4.9,5.9,1.71,1.81,3.75,4.3
566,2023-12-17,HUNGARY - OTP BANK LIGA,Kecskemeti TE,Debrecen,1,1,2.84,3.3,2.44,2.76,3.3,3.55
567,2023-12-17,ROMANIA - LIGA 1,U. Cluj,Otelul,0,1,1.87,1.99,4.7,5.6,3.25,3.5
568,2023-12-17,SPAIN - LALIGA,Almeria,Mallorca,0,0,2.78,2.8,2.96,2.98,3.3,3.35
569,2023-12-17,SPAIN - LALIGA2,Alcorcon,Eibar,1,0,4.1,4.5,2.06,2.12,3.3,3.5
570,2023-12-17,SWITZERLAND - CHALLENGE LEAGUE,Vaduz,Bellinzona,1,2,1.84,1.88,4.6,4.8,3.95,4.2
571,2023-12-17,SWITZERLAND - SUPER LEAGUE,Winterthur,Lausanne,1,0,2.58,2.78,2.5,2.68,4.0,4.2
572,2023-12-17,CROATIA - HNL,Osijek,Slaven Belupo,4,1,1.6,1.75,6.0,7.6,3.45,4.2
573,2023-12-17,NETHERLANDS - EREDIVISIE,Heracles,Feyenoord,0,4,13.0,15.0,1.22,1.26,7.8,8.4
574,2023-12-17,NETHERLANDS - EREDIVISIE,Sparta Rotterdam,Twente,2,2,4.4,4.6,1.92,1.96,3.8,3.9
575,2023-12-17,CZECH REPUBLIC - FORTUNA:LIGA,Ostrava,Slavia Prague,2,3,4.7,5.5,1.71,1.8,3.95,4.3
576,2023-12-17,CZECH REPUBLIC - FORTUNA:LIGA,Sigma Olomouc,Plzen,1,3,3.5,3.85,2.06,2.22,3.65,3.95
577,2023-12-17,ENGLAND - PREMIER LEAGUE,Arsenal,Brighton,2,0,1.49,1.51,7.2,7.4,5.0,5.1
578,2023-12-17,ENGLAND - PREMIER LEAGUE,Brentford,Aston Villa,1,2,3.3,3.35,2.3,2.32,3.75,3.8
579,2023-12-17,ENGLAND - PREMIER LEAGUE,West Ham,Wolves,3,0,2.2,2.22,3.6,3.65,3.7,3.75
580,2023-12-17,FRANCE - LIGUE 1,Lorient,Strasbourg,1,2,2.68,2.72,3.0,3.1,3.3,3.35
581,2023-12-17,FRANCE - LIGUE 1,Metz,Montpellier,0,1,3.35,3.45,2.42,2.44,3.4,3.45
582,2023-12-17,FRANCE - LIGUE 1,Toulouse,Rennes,0,0,3.3,3.4,2.34,2.38,3.6,3.65
583,2023-12-17,ITALY - SERIE A,Fiorentina,Verona,1,0,1.47,1.49,8.2,8.4,4.9,5.0
584,2023-12-17,ITALY - SERIE A,Udinese,Sassuolo,2,2,2.32,2.34,3.25,3.3,3.7,3.75
585,2023-12-17,POLAND - EKSTRAKLASA,Rakow,Korona Kielce,1,0,1.58,1.65,6.0,7.2,4.2,4.5
586,2023-12-17,PORTUGAL - LIGA PORTUGAL 2,Feirense,Maritimo,0,1,3.55,4.1,2.08,2.26,3.15,3.6
587,2023-12-17,SLOVAKIA - NIKE LIGA,Trnava,Michalovce,1,0,1.4,1.47,7.4,10.0,4.7,5.5
588,2023-12-17,GERMANY - BUNDESLIGA,Freiburg,FC Koln,2,0,1.95,1.96,4.4,4.5,3.8,3.85
589,2023-12-17,HUNGARY - OTP BANK LIGA,Ferencvaros,Zalaegerszegi,3,0,1.3,1.36,9.4,12.0,5.6,6.8
590,2023-12-17,BELGIUM - CHALLENGER PRO LEAGUE,Deinze,St. Liege U23,2,1,1.34,1.41,8.6,10.5,5.4,6.4
591,2023-12-17,BELGIUM - JUPILER PRO LEAGUE,Royale Union SG,KV Mechelen,1,0,1.31,1.37,10.5,13.0,5.6,6.2
592,2023-12-17,ITALY - SERIE B,Lecco,Ternana,2,3,2.5,2.7,2.94,3.2,3.2,3.45
593,2023-12-17,SPAIN - LALIGA,Real Sociedad,Betis,0,0,1.7,1.72,5.7,5.8,4.1,4.2
594,2023-12-17,SPAIN - LALIGA2,Levante,Huesca,2,1,2.18,2.28,4.1,4.5,2.96,3.25
595,2023-12-17,PORTUGAL - LIGA PORTUGAL,Chaves,Casa Pia,1,3,2.82,2.94,2.86,2.98,3.2,3.3
596,2023-12-17,PORTUGAL - LIGA PORTUGAL,Moreirense,Portimonense,5,2,1.74,1.77,5.2,5.7,4.0,4.1
597,2023-12-17,PORTUGAL - LIGA PORTUGAL 2,Benfica B,Tondela,1,1,2.2,2.86,2.72,3.65,3.05,4.2
598,2023-12-17,SWITZERLAND - SUPER LEAGUE,Luzern,Basel,0,1,2.18,2.2,3.35,3.5,3.9,4.1
599,2023-12-17,SWITZERLAND - SUPER LEAGUE,Servette,Lugano,2,2,1.76,1.8,4.5,5.0,4.1,4.5
600,2023-12-17,GERMANY - 3. LIGA,Arminia Bielefeld,Munich 1860,2,0,2.12,2.28,3.2,3.6,3.55,3.95
601,2023-12-17,NETHERLANDS - EREDIVISIE,Ajax,Zwolle,2,2,1.25,1.28,11.5,14.0,7.4,7.8
602,2023-12-17,FRANCE - LIGUE 1,Marseille,Clermont,2,1,1.47,1.48,8.2,8.6,4.9,5.0
603,2023-12-17,CROATIA - HNL,D. Zagreb,Hajduk Split,0,0,1.97,2.1,3.75,4.5,3.5,3.85
604,2023-12-17,SLOVAKIA - NIKE LIGA,Slovan Bratislava,Dun. Streda,2,1,1.54,1.66,6.0,7.2,4.0,4.9
605,2023-12-17,ENGLAND - PREMIER LEAGUE,Liverpool,Manchester Utd,0,0,1.35,1.36,9.2,9.4,6.4,6.6
606,2023-12-17,GERMANY - BUNDESLIGA,Bayer Leverkusen,Eintracht Frankfurt,3,0,1.35,1.36,10.0,10.5,6.0,6.2
607,2023-12-17,POLAND - EKSTRAKLASA,Legia,Cracovia,2,0,1.63,1.72,5.3,6.4,4.0,4.3
608,2023-12-17,CZECH REPUBLIC - FORTUNA:LIGA,Sparta Prague,Teplice,2,1,1.19,1.22,18.0,21.0,7.8,8.8
609,2023-12-17,HUNGARY - OTP BANK LIGA,Puskas Academy,Mezokovesd-Zsory,0,0,1.55,1.64,6.2,7.6,4.0,4.5
610,2023-12-17,ITALY - SERIE A,Bologna,AS Roma,2,0,2.56,2.58,3.5,3.55,3.05,3.1
611,2023-12-17,BELGIUM - JUPILER PRO LEAGUE,Antwerp,Anderlecht,1,1,2.02,2.08,4.0,4.2,3.7,3.85
612,2023-12-17,SPAIN - LALIGA,Las Palmas,Cadiz CF,1,1,2.0,2.02,4.8,4.9,3.4,3.45
613,2023-12-17,SPAIN - LALIGA2,Amorebieta,Zaragoza,1,1,3.6,3.95,2.32,2.44,3.05,3.15
614,2023-12-17,PORTUGAL - LIGA PORTUGAL,Famalicao,Estoril,1,1,2.28,2.34,3.4,3.55,3.45,3.6
615,2023-12-17,PORTUGAL - LIGA PORTUGAL 2,Oliveirense,Mafra,1,3,3.25,4.1,2.06,2.3,3.35,3.85
616,2023-12-17,BELGIUM - CHALLENGER PRO LEAGUE,Lommel SK,Lierse K.,3,0,1.59,1.8,4.6,6.0,4.0,5.2
617,2023-12-17,BELGIUM - JUPILER PRO LEAGUE,Genk,Kortrijk,4,0,1.22,1.27,13.0,15.5,7.2,8.2
618,2023-12-17,GERMANY - 3. LIGA,Viktoria Koln,Freiburg II,2,0,1.7,1.75,4.9,5.6,4.1,4.4
619,2023-12-17,GERMANY - BUNDESLIGA,Bayern Munich,Stuttgart,3,0,1.49,1.5,6.4,6.6,5.7,5.8
620,2023-12-17,NETHERLANDS - EREDIVISIE,AZ Alkmaar,PSV,0,4,4.4,4.6,1.88,1.91,4.0,4.2
621,2023-12-17,ROMANIA - LIGA 1,Sepsi Sf. Gheorghe,CFR Cluj,2,1,3.4,4.1,2.04,2.28,3.25,3.65
622,2023-12-17,ITALY - SERIE A,Lazio,Inter,0,2,5.3,5.4,1.8,1.82,3.85,3.9
623,2023-12-17,SPAIN - LALIGA,Real Madrid,Villarreal,4,1,1.27,1.28,12.0,12.5,7.2,7.4
624,2023-12-17,SPAIN - LALIGA2,Ferrol,Tenerife,3,1,2.44,2.56,3.6,3.85,2.88,3.05
625,2023-12-17,PORTUGAL - LIGA PORTUGAL,Braga,Benfica,0,1,2.92,3.1,2.36,2.44,3.9,4.1
626,2023-12-17,MEXICO - LIGA MX,Club America,U.A.N.L.- Tigres,3,0,1.97,2.06,4.5,5.0,3.15,3.4
627,2023-12-18,AUSTRALIA - A-LEAGUE,Macarthur FC,Wellington Phoenix,0,3,2.32,2.36,3.1,3.15,3.95,4.1
628,2023-12-18,SERBIA - SUPER LIGA,TSC,Javor,3,0,1.36,1.41,9.2,12.0,5.1,5.7
629,2023-12-18,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,Zrinjski,FK Sarajevo,2,0,1.65,1.8,4.8,6.0,3.9,5.3
630,2023-12-18,SERBIA - SUPER LIGA,Cukaricki,IMT Novi Beograd,0,1,1.54,1.67,5.8,7.2,3.8,5.6
631,2023-12-18,POLAND - EKSTRAKLASA,Piast Gliwice,Stal Mielec,3,0,1.43,1.56,8.6,11.0,3.95,4.7
632,2023-12-18,ROMANIA - LIGA 1,FC Botosani,Din. Bucuresti,0,2,2.28,2.9,2.8,3.8,2.86,3.6
633,2023-12-18,SPAIN - LALIGA2,Villarreal B,Valladolid,1,0,3.65,3.7,2.18,2.3,3.45,3.65
634,2023-12-18,ITALY - SERIE A,Atalanta,Salernitana,4,1,1.33,1.34,11.0,12.5,6.0,6.4
635,2023-12-18,ENGLAND - CHAMPIONSHIP,Birmingham,Leicester,2,3,6.2,6.4,1.6,1.61,4.5,4.6
636,2023-12-18,FRANCE - NATIONAL,Versailles,Red Star,2,2,3.0,4.2,2.12,2.76,2.88,3.95
637,2023-12-18,SPAIN - LALIGA,Girona,Alaves,3,0,1.6,1.61,6.6,6.8,4.4,4.5
638,2023-12-18,PORTUGAL - LIGA PORTUGAL,Sporting CP,FC Porto,2,0,2.24,2.34,3.4,3.6,3.5,3.7
639,2023-12-19,TURKEY - 1. LIG,Tuzlaspor,Sakaryaspor,1,3,4.2,4.6,1.91,2.04,3.55,3.85
640,2023-12-19,TURKEY - 1. LIG,Giresunspor,Genclerbirligi,0,1,5.4,7.2,1.66,1.7,3.9,4.4
641,2023-12-19,TURKEY - SUPER LIG,Basaksehir,Sivasspor,3,1,2.04,2.14,3.85,4.3,3.4,3.65
642,2023-12-19,ROMANIA - LIGA 1,U Craiova 1948,Petrolul,2,0,2.18,2.3,3.65,3.95,3.25,3.5
643,2023-12-19,TURKEY - 1. LIG,Kocaelispor,Bodrumspor,1,1,2.5,2.76,3.0,3.35,3.1,3.35
644,2023-12-19,TURKEY - SUPER LIG,Gaziantep,Adana Demirspor,2,2,2.78,2.86,2.48,2.62,3.85,4.0
645,2023-12-19,TURKEY - SUPER LIG,Istanbulspor AS,Trabzonspor,1,2,5.2,5.8,1.67,1.73,4.3,4.6
646,2023-12-19,GERMANY - BUNDESLIGA,Werder Bremen,RB Leipzig,1,1,5.4,5.5,1.64,1.65,4.8,4.9
647,2023-12-19,SPAIN - LALIGA,Rayo Vallecano,Valencia,0,1,2.32,2.34,3.75,3.8,3.3,3.35
648,2023-12-19,SPAIN - LALIGA2,Albacete,Eldense,1,1,1.67,1.7,6.4,6.8,3.8,3.95
649,2023-12-19,SPAIN - LALIGA2,Racing Santander,Andorra,2,0,2.48,2.54,3.05,3.3,3.45,3.55
650,2023-12-19,GERMANY - 3. LIGA,Ingolstadt,Aue,1,1,1.85,1.89,4.2,4.7,3.95,4.2
651,2023-12-19,GERMANY - 3. LIGA,RW Essen,Hallescher,3,2,1.78,1.9,4.2,4.9,4.0,4.4
652,2023-12-19,GERMANY - 3. LIGA,Saarbrucken,Ulm,2,1,2.12,2.3,3.4,3.95,3.35,3.95
653,2023-12-19,GERMANY - 3. LIGA,Sandhausen,Lubeck,1,2,1.66,1.8,4.7,5.5,4.1,4.8
654,2023-12-19,GERMANY - 3. LIGA,Unterhaching,Regensburg,1,2,2.8,3.75,2.28,2.82,3.05,3.95
655,2023-12-19,ROMANIA - LIGA 1,Poli Iasi,FCSB,1,3,5.4,6.2,1.65,1.73,3.95,4.4
656,2023-12-19,GERMANY - BUNDESLIGA,Dortmund,Mainz,1,1,1.55,1.57,6.0,6.2,5.1,5.3
657,2023-12-19,GERMANY - BUNDESLIGA,Hoffenheim,Darmstadt,3,3,1.51,1.53,6.6,6.8,5.2,5.4
658,2023-12-19,FRANCE - LIGUE 2,AC Ajaccio,Valenciennes,2,1,1.99,2.02,5.2,5.6,3.05,3.2
659,2023-12-19,FRANCE - LIGUE 2,Amiens,Caen,0,0,2.4,2.58,3.25,3.6,3.15,3.35
660,2023-12-19,FRANCE - LIGUE 2,Angers,Guingamp,1,0,2.18,2.24,3.9,4.1,3.2,3.4
661,2023-12-19,FRANCE - LIGUE 2,Annecy,Rodez,1,2,2.56,2.9,2.86,3.15,3.2,3.4
662,2023-12-19,FRANCE - LIGUE 2,Concarneau,Grenoble,0,3,3.4,3.7,2.3,2.44,3.3,3.45
663,2023-12-19,FRANCE - LIGUE 2,Dunkerque,Bordeaux,0,2,3.75,4.0,2.14,2.2,3.45,3.55
664,2023-12-19,FRANCE - LIGUE 2,Laval,Auxerre,1,3,3.45,3.8,2.22,2.36,3.3,3.45
665,2023-12-19,FRANCE - LIGUE 2,Paris FC,Quevilly Rouen,2,2,2.32,2.44,3.35,3.65,3.25,3.4
666,2023-12-19,FRANCE - LIGUE 2,Pau FC,Troyes,1,1,2.0,2.08,3.95,4.2,3.65,3.75
667,2023-12-19,FRANCE - LIGUE 2,St Etienne,Bastia,3,2,1.99,2.06,4.2,4.8,3.5,3.65
668,2023-12-19,SPAIN - LALIGA,Atl. Madrid,Getafe,3,3,1.45,1.46,9.8,10.0,4.8,4.9
669,2023-12-19,SPAIN - LALIGA,Granada CF,Sevilla,0,3,2.86,2.9,2.72,2.76,3.45,3.55
670,2023-12-19,SPAIN - LALIGA2,Elche,Mirandes,0,0,1.76,1.8,5.2,5.8,3.85,3.95
671,2023-12-19,SPAIN - LALIGA2,Espanyol,Burgos CF,3,3,1.62,1.68,6.4,7.2,3.8,4.1
672,2023-12-20,TURKEY - 1. LIG,Erzurumspor,Umraniyespor,1,1,2.86,2.98,2.74,2.9,3.15,3.4
673,2023-12-20,TURKEY - 1. LIG,Keciorengucu,Bandirmaspor,1,3,2.98,3.35,2.44,2.68,3.35,3.5
674,2023-12-20,SERBIA - SUPER LIGA,Radnicki 1923,Radnik,1,0,1.78,1.83,5.4,5.8,3.65,3.9
675,2023-12-20,TURKEY - 1. LIG,Adanaspor AS,Altay,0,1,1.75,1.86,4.9,5.7,3.7,3.95
676,2023-12-20,TURKEY - SUPER LIG,Kayserispor,Fenerbahce,3,4,6.8,7.2,1.48,1.49,5.4,5.6
677,2023-12-20,ROMANIA - LIGA 1,UTA Arad,Univ. Craiova,2,2,5.3,6.2,1.77,1.86,3.55,3.75
678,2023-12-20,TURKEY - 1. LIG,Goztepe,Eyupspor,5,1,3.8,4.4,2.16,2.34,3.1,3.25
679,2023-12-20,TURKEY - SUPER LIG,Antalyaspor,Kasimpasa,0,0,1.81,1.83,4.5,4.7,4.3,4.4
680,2023-12-20,TURKEY - SUPER LIG,Galatasaray,Karagumruk,1,0,1.24,1.25,14.0,15.0,8.0,8.2
681,2023-12-20,SERBIA - SUPER LIGA,Partizan,Crvena zvezda,2,1,3.55,4.0,2.1,2.24,3.55,3.7
682,2023-12-20,GERMANY - BUNDESLIGA,Union Berlin,FC Koln,2,0,1.95,1.96,4.5,4.6,3.75,3.8
683,2023-12-20,BELGIUM - JUPILER PRO LEAGUE,Cercle Brugge KSV,Kortrijk,3,0,1.37,1.39,9.0,9.8,6.0,6.4
684,2023-12-20,GERMANY - 3. LIGA,Arminia Bielefeld,SG Dynamo Dresden,0,1,3.2,3.4,2.2,2.28,3.75,3.95
685,2023-12-20,GERMANY - 3. LIGA,Duisburg,Freiburg II,4,2,1.76,1.85,4.8,5.6,3.7,3.95
686,2023-12-20,GERMANY - 3. LIGA,Mannheim,Munich 1860,1,0,2.56,2.76,2.72,2.94,3.4,3.7
687,2023-12-20,GERMANY - 3. LIGA,Verl,Viktoria Koln,1,1,1.91,2.02,3.8,4.1,4.1,4.4
688,2023-12-20,SPAIN - LALIGA,Barcelona,Almeria,3,2,1.17,1.18,19.5,20.0,10.5,11.0
689,2023-12-20,SPAIN - LALIGA2,Zaragoza,Levante,2,2,2.22,2.38,3.6,4.0,3.2,3.3
690,2023-12-20,POLAND - EKSTRAKLASA,Cracovia,Legia,2,0,3.5,3.8,2.16,2.3,3.55,3.65
691,2023-12-20,ROMANIA - LIGA 1,Farul Constanta,FC Rapid Bucuresti,0,0,2.12,2.22,3.7,3.95,3.5,3.6
692,2023-12-20,GERMANY - BUNDESLIGA,Bayer Leverkusen,Bochum,4,0,1.18,1.19,19.5,21.0,9.2,9.4
693,2023-12-20,GERMANY - BUNDESLIGA,Eintracht Frankfurt,B. Monchengladbach,2,1,1.9,1.91,4.1,4.2,4.3,4.4
694,2023-12-20,GERMANY - BUNDESLIGA,Heidenheim,Freiburg,3,2,2.94,3.05,2.54,2.56,3.65,3.7
695,2023-12-20,GERMANY - BUNDESLIGA,Stuttgart,Augsburg,3,0,1.41,1.42,8.6,9.0,5.6,5.8
696,2023-12-20,GERMANY - BUNDESLIGA,Wolfsburg,Bayern Munich,1,2,8.4,8.6,1.38,1.39,6.2,6.4
697,2023-12-20,BELGIUM - JUPILER PRO LEAGUE,KV Mechelen,St. Liege,3,0,2.6,2.68,2.82,2.98,3.5,3.65
698,2023-12-20,SCOTLAND - PREMIERSHIP,Aberdeen,Livingston,2,1,1.75,1.8,5.1,5.5,4.0,4.2
699,2023-12-20,SCOTLAND - PREMIERSHIP,Rangers,St Johnstone,2,0,1.16,1.18,22.0,26.0,9.6,10.5
700,2023-12-20,FRANCE - LIGUE 1,Brest,Lorient,4,0,1.67,1.68,6.2,6.6,4.0,4.2
701,2023-12-20,FRANCE - LIGUE 1,Clermont,Rennes,1,3,3.55,3.65,2.28,2.34,3.45,3.55
702,2023-12-20,FRANCE - LIGUE 1,Lyon,Nantes,1,0,1.79,1.8,4.8,4.9,4.2,4.3
703,2023-12-20,FRANCE - LIGUE 1,Montpellier,Marseille,1,1,3.6,3.75,2.14,2.2,3.7,3.8
704,2023-12-20,FRANCE - LIGUE 1,Nice,Lens,2,0,2.44,2.5,3.4,3.5,3.25,3.35
705,2023-12-20,FRANCE - LIGUE 1,Reims,Le Havre,1,0,1.8,1.82,5.1,5.3,3.9,4.0
706,2023-12-20,FRANCE - LIGUE 1,Strasbourg,Lille,2,1,4.2,4.3,2.02,2.04,3.6,3.7
707,2023-12-20,FRANCE - LIGUE 1,Toulouse,Monaco,1,2,4.8,5.0,1.78,1.8,4.2,4.3
708,2023-12-20,SPAIN - LALIGA,Ath Bilbao,Las Palmas,1,0,1.41,1.43,9.4,9.8,5.2,5.4
709,2023-12-20,SPAIN - LALIGA2,Eibar,Gijon,1,1,1.96,2.0,4.7,5.1,3.4,3.55
710,2023-12-20,SPAIN - LALIGA2,Leganes,Tenerife,1,1,2.3,2.32,4.1,4.4,2.96,3.05
711,2023-12-20,SPAIN - LALIGA,Villarreal,Celta Vigo,3,2,2.56,2.6,2.98,3.05,3.55,3.6
712,2023-12-21,AUSTRALIA - A-LEAGUE,Brisbane Roar,Central Coast Mariners,0,3,2.38,2.5,2.8,2.92,4.1,4.3
713,2023-12-21,TURKEY - 1. LIG,Boluspor,Manisa FK,1,0,3.05,3.25,2.48,2.62,3.35,3.45
714,2023-12-21,SERBIA - SUPER LIGA,Novi Pazar,Sp. Subotica,0,1,1.83,1.99,4.3,5.7,3.5,4.3
715,2023-12-21,TURKEY - 1. LIG,Sanliurfaspor,Corum,1,1,3.7,4.3,2.02,2.2,3.6,3.65
716,2023-12-21,TURKEY - SUPER LIG,Rizespor,Pendikspor,5,1,1.93,1.98,4.3,4.6,3.8,3.9
717,2023-12-21,TURKEY - SUPER LIG,Samsunspor,Konyaspor,1,1,1.99,2.0,4.2,4.4,3.75,3.8
718,2023-12-21,ROMANIA - LIGA 1,FC Hermannstadt,Sepsi Sf. Gheorghe,1,1,2.44,2.66,3.35,3.7,3.0,3.1
719,2023-12-21,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Khaleej,Al Feiha,3,0,2.22,2.38,3.15,3.5,3.55,3.8
720,2023-12-21,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Damac,Al Taee,3,0,1.74,1.81,4.6,5.3,4.2,4.4
721,2023-12-21,SERBIA - SUPER LIGA,Radnicki Nis,Zeleznicar Pancevo,1,1,1.94,2.08,3.65,4.4,3.7,4.0
722,2023-12-21,TURKEY - SUPER LIG,Ankaragucu,Hatayspor,0,0,2.02,2.06,3.85,4.1,3.75,3.9
723,2023-12-21,TURKEY - SUPER LIG,Besiktas,Alanyaspor,1,3,1.53,1.54,6.6,7.0,5.1,5.3
724,2023-12-21,ROMANIA - LIGA 1,CFR Cluj,U. Cluj,4,0,1.92,1.94,4.9,5.3,3.4,3.55
725,2023-12-21,SERBIA - SUPER LIGA,Vozdovac,Vojvodina,3,2,3.05,3.65,2.22,2.48,3.35,3.65
726,2023-12-21,SPAIN - LALIGA,Betis,Girona,1,1,2.96,2.98,2.52,2.54,3.75,3.8
727,2023-12-21,SPAIN - LALIGA,Cadiz CF,Real Sociedad,0,0,5.2,5.4,1.86,1.87,3.6,3.65
728,2023-12-21,SPAIN - LALIGA2,Huesca,FC Cartagena SAD,3,0,2.2,2.34,4.1,4.6,3.0,3.1
729,2023-12-21,SPAIN - LALIGA2,Villarreal B,R. Oviedo,1,1,3.1,3.35,2.58,2.74,3.1,3.2
730,2023-12-21,PORTUGAL - LIGA PORTUGAL 2,Torreense,Vilaverdense,3,1,1.64,1.8,5.2,6.8,3.75,4.5
731,2023-12-21,BELGIUM - JUPILER PRO LEAGUE,Gent,Leuven,4,0,1.29,1.32,10.5,11.5,6.8,7.6
732,2023-12-21,ENGLAND - LEAGUE ONE,Derby,Lincoln,3,1,1.53,1.55,7.6,8.2,4.4,4.6
733,2023-12-21,ENGLAND - PREMIER LEAGUE,Crystal Palace,Brighton,1,1,3.35,3.45,2.32,2.34,3.6,3.65
734,2023-12-21,SPAIN - LALIGA,Alaves,Real Madrid,0,1,6.2,6.4,1.62,1.63,4.4,4.5
735,2023-12-21,SPAIN - LALIGA,Mallorca,Osasuna,3,2,2.5,2.54,3.65,3.75,2.98,3.05
736,2023-12-21,SPAIN - LALIGA2,Amorebieta,Alcorcon,1,2,2.28,2.34,3.75,4.0,3.2,3.25
737,2023-12-21,SPAIN - LALIGA2,Valladolid,Ferrol,0,1,2.0,2.1,4.0,4.7,3.25,3.45
738,2023-12-22,AUSTRALIA - A-LEAGUE,Adelaide United,Newcastle Jets,3,1,1.83,1.86,4.0,4.2,4.7,4.8
739,2023-12-22,SERBIA - SUPER LIGA,Cukaricki,Mladost,3,0,1.42,1.51,8.0,9.8,4.5,5.6
740,2023-12-22,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Akhdoud,Al Shabab,1,0,3.6,3.95,2.02,2.14,3.7,3.9
741,2023-12-22,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Hazem,Al Ahli SC,0,4,8.0,9.4,1.38,1.4,5.6,6.2
742,2023-12-22,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Nassr,Al Ettifaq,3,1,1.29,1.35,9.8,13.0,6.0,6.8
743,2023-12-22,SERBIA - SUPER LIGA,Javor,IMT Novi Beograd,1,1,2.7,3.0,2.62,2.9,3.15,3.5
744,2023-12-22,ROMANIA - LIGA 1,Otelul,FC Botosani,0,2,1.69,1.72,6.2,6.8,3.65,3.85
745,2023-12-22,SERBIA - SUPER LIGA,TSC,Napredak,1,1,1.37,1.42,9.4,11.5,5.0,5.6
746,2023-12-22,ITALY - SERIE A,Empoli,Lazio,0,2,4.5,4.6,1.99,2.02,3.55,3.6
747,2023-12-22,ITALY - SERIE A,Sassuolo,Genoa,1,2,2.34,2.38,3.35,3.45,3.5,3.55
748,2023-12-22,ROMANIA - LIGA 1,Din. Bucuresti,FC Voluntari,1,0,2.46,2.86,2.88,3.3,3.3,3.5
749,2023-12-22,PORTUGAL - LIGA PORTUGAL 2,Leiria,Pacos Ferreira,1,1,2.14,2.28,3.5,3.9,3.45,3.6
750,2023-12-22,ENGLAND - LEAGUE TWO,Forest Green,Gillingham,0,0,2.88,3.15,2.52,2.72,3.4,3.5
751,2023-12-22,NETHERLANDS - EERSTE DIVISIE,Den Bosch,Cambuur,3,1,4.2,4.7,1.74,1.81,4.3,4.7
752,2023-12-22,NETHERLANDS - EERSTE DIVISIE,Groningen,Jong Utrecht,2,1,1.22,1.27,13.5,17.5,7.0,7.8
